,open_interest_all,prod_merc_positions_long,prod_merc_positions_short,swap_positions_long_all,swap__positions_short_all,m_money_positions_long_all,m_money_positions_short_all,other_rept_positions_long,other_rept_positions_short,prod_merc_net,swap_net,m_money_net,other_rept_net,Close,High,Low,Open,Volume
2008-02-12,596447,71586,362672,179768,2635,118835,15864,78281,28890,-291086,177133,102971,49391,1321.0,1346.5,1306.5,1327.0,100100
2008-02-19,616048,76847,376020,183716,3054,122598,20318,79104,28638,-299173,180662,102280,50466,1398.5,1411.0,1375.0,1375.0,83917
2008-02-26,594443,72291,372757,187628,2028,113517,18204,76459,26515,-300466,185600,95313,49944,1466.75,1475.5,1425.5,1451.25,37241
2008-03-04,567980,76304,359922,187477,1987,103997,19560,71785,29241,-283618,185490,84437,42544,1494.0,1565.25,1486.0,1548.75,18623
2008-03-11,552030,91145,346944,171278,2320,102834,19479,62987,30546,-255799,168958,83355,32441,1392.5,1417.5,1375.0,1390.0,2313
2008-03-18,539598,107614,351777,159479,2551,109840,19294,56614,31367,-244163,156928,90546,25247,1307.0,1318.75,1252.75,1254.5,118504
2008-03-25,527444,102472,332521,154056,3873,104929,22285,60307,28192,-230049,150183,82644,32115,1307.0,1307.0,1269.5,1275.75,33580
2008-04-01,512579,83404,296953,147878,2759,96907,22732,58223,27635,-213549,145119,74175,30588,1211.0,1229.75,1106.5,1167.0,152342
2008-04-08,497185,78278,295751,137651,1921,93603,14923,61967,24525,-217473,135730,78680,37442,1251.5,1269.0,1245.0,1245.0,90172
2008-04-15,518020,80642,307331,144578,1995,95252,12074,61686,25068,-226689,142583,83178,36618,1380.0,1398.0,1369.0,1374.5,69358
2008-04-22,524833,82953,317272,145852,1856,104594,12647,59488,25097,-234319,143996,91947,34391,1374.75,1384.5,1307.0,1316.0,39079
2008-04-29,476613,69291,288706,146650,55,101764,16618,48177,24808,-219415,146595,85146,23369,1279.5,1294.0,1266.5,1287.0,31248
2008-05-06,457916,66841,285527,144906,82,100983,12844,45334,25620,-218686,144824,88139,19714,1264.5,1321.0,1264.5,1272.0,3864
2008-05-13,456423,61452,283520,147381,6289,102534,12989,42123,19481,-222068,141092,89545,22642,1374.5,1365.5,1331.0,1335.0,902
2008-05-20,455553,60101,278805,142263,6258,105511,14232,43466,17984,-218704,136005,91279,25482,1331.5,1363.5,1323.0,1340.5,60112
2008-05-27,459932,61109,275898,140017,6204,103382,14274,44078,18460,-214789,133813,89108,25618,1347.75,1390.0,1340.0,1384.0,66697
2008-06-03,470984,61342,279301,139856,6428,105654,12954,48080,19378,-217959,133428,92700,28702,1359.5,1384.0,1346.5,1364.75,83711
2008-06-10,489586,58008,291079,140282,6895,116734,16328,49292,23095,-233071,133387,100406,26197,1446.5,1465.75,1419.0,1453.5,108036
2008-06-17,503179,57963,288522,140416,9265,114374,16363,55735,26040,-230559,131151,98011,29695,1558.0,1566.75,1524.0,1532.75,75162
2008-06-24,476188,63239,284524,137180,6725,111476,10308,38126,19256,-221285,130455,101168,18870,1501.0,1528.75,1492.25,1519.0,54943
2008-07-01,479364,55481,287785,136244,6155,115914,10731,41452,22193,-232304,130089,105183,19259,1628.0,1630.0,1600.0,1604.75,12668
2008-07-08,472456,59603,282205,138136,6165,106966,8911,42667,24424,-222602,131971,98055,18243,1561.0,1596.0,1518.5,1596.0,3781
2008-07-15,459324,57605,272960,131494,6253,112020,11327,41174,26032,-215355,125241,100693,15142,1542.0,1604.0,1537.25,1578.0,46917
2008-07-22,431191,60350,247116,120161,7780,101315,11673,40483,25963,-186766,112381,89642,14520,1416.75,1430.75,1384.75,1410.75,32107
2008-07-29,398492,53932,225608,118313,6300,86153,9962,37373,26865,-171676,112013,76191,10508,1384.25,1407.0,1354.25,1404.75,35185
2008-08-05,393411,55495,220007,118835,6393,87868,9712,36352,29037,-164512,112442,78156,7315,1262.5,1298.0,1243.0,1274.25,3594
2008-08-12,392492,60057,210182,113081,6791,79300,14705,40363,28025,-150125,106290,64595,12338,1220.0,1225.25,1200.0,1200.0,445
2008-08-19,390464,61870,207866,109572,6588,75561,15952,43817,29575,-145996,102984,59609,14242,1267.0,1331.25,1250.0,1277.5,9677
2008-08-26,382481,56190,197865,110247,6787,76399,14886,34566,30156,-141675,103460,61513,4410,1337.5,1346.5,1302.0,1337.0,9004
2008-09-02,370781,52842,197734,110507,3973,74530,12908,34383,27940,-144892,106534,61622,6443,1301.5,1306.0,1265.5,1306.0,2261
2008-09-09,376479,61007,186801,107851,4081,68073,21968,34359,26529,-125794,103770,46105,7830,1209.0,1210.25,1163.75,1192.0,628
2008-09-16,374393,60995,187343,111637,5464,58738,21443,35639,22208,-126348,106173,37295,13431,1124.0,1179.0,1110.25,1168.75,124148
2008-09-23,355159,59656,187359,107979,3130,60444,18458,33549,21959,-127703,104849,41986,11590,1187.0,1211.0,1168.25,1203.75,90004
2008-09-30,357108,64059,180960,102743,2794,53791,20958,34905,18790,-116901,99949,32833,16115,1045.0,1096.0,1039.0,1077.75,121727
2008-10-07,358347,73490,177279,92053,5238,52965,20658,34279,15839,-103789,86815,32307,18440,926.0,951.5,916.75,922.75,116320
2008-10-14,367209,86557,182069,87160,3149,44824,22710,32427,14204,-95512,84011,22114,18223,896.0,958.0,893.25,936.5,101989
2008-10-21,360818,105350,189994,85745,850,39636,18980,23825,20538,-84644,84895,20656,3287,908.0,944.5,892.0,934.5,115614
2008-10-28,322020,89367,170876,84302,518,40557,13772,10517,16505,-81509,83784,26785,-5988,878.75,952.0,862.25,903.0,125693
2008-11-04,308399,72401,167307,84653,301,44562,11688,11617,15653,-94906,84352,32874,-4036,949.5,972.0,914.75,926.25,16594
2008-11-11,316811,73676,160623,84093,185,43689,15956,11094,15583,-86947,83908,27733,-4489,908.0,936.5,889.25,930.0,3964
2008-11-18,311824,70852,158176,81503,175,43052,14737,11489,15217,-87324,81328,28315,-3728,902.0,913.0,892.5,904.0,61865
2008-11-25,315608,74649,159657,78176,1444,47222,16549,10580,14881,-85008,76732,30673,-4301,883.0,892.75,871.0,883.5,65724
2008-12-02,316328,73568,154411,78883,1660,44681,21178,12494,14663,-80843,77223,23503,-2169,827.0,857.25,826.0,841.75,86324
2008-12-09,316006,79347,156371,76532,820,45767,21089,12909,16699,-77024,75712,24678,-3790,813.0,827.25,809.25,821.25,84377
2008-12-16,313818,78157,158186,75841,844,44643,21962,11913,13636,-80029,74997,22681,-1723,858.5,863.0,840.0,846.0,68580
2008-12-22,298713,70395,151438,75728,874,45729,20382,12121,15642,-81043,74854,25347,-3521,886.5,895.0,862.25,872.5,47926
2008-12-30,278773,55402,142448,78667,483,42722,13763,12029,14811,-87046,78184,28959,-2782,945.75,951.0,931.5,935.5,35206
2009-01-06,283833,53499,146359,80236,513,45495,13208,13102,16372,-92860,79723,32287,-3270,1014.25,1018.0,979.5,980.0,11088
2009-01-13,285407,50558,144790,79354,1024,51410,11618,13772,16918,-94232,78330,39792,-3146,969.5,988.5,961.5,961.5,1238
2009-01-20,303202,54917,148895,81989,1069,50072,15982,15179,15955,-93978,80920,34090,-776,992.0,1037.0,977.5,1018.25,101814
2009-01-27,322483,58447,162149,85822,1099,54471,14914,16133,15287,-103702,84723,39557,846,976.0,1017.25,973.0,1007.0,81612
2009-02-03,324725,54390,153959,88316,847,55448,17106,15421,16773,-99569,87469,38342,-1352,946.0,962.75,934.5,958.75,91186
2009-02-10,322897,56151,162084,87276,875,55502,15122,16962,15554,-105933,86401,40380,1408,994.0,1010.0,982.25,1000.0,84859
2009-02-17,326895,61836,159152,87563,943,50709,19615,16878,14692,-97316,86620,31094,2186,903.0,960.0,899.0,955.0,92798
2009-02-24,294087,64902,133860,78180,3102,49135,28276,10954,16885,-68958,75078,20859,-5931,881.0,881.5,865.25,870.25,39757
2009-03-03,282295,62923,122060,79537,3502,45919,32438,11093,16963,-59137,76035,13481,-5870,863.0,864.5,846.5,846.5,5498
2009-03-10,279743,60392,126169,80422,1206,44568,31411,11614,15968,-65777,79216,13157,-4354,889.0,905.0,881.0,881.0,714
2009-03-17,289249,56132,133541,82831,1380,48163,27791,18038,21705,-77409,81451,20372,-3667,913.0,921.75,902.75,908.5,74041
2009-03-24,311776,56189,150444,86599,3461,59511,18483,19747,26778,-94255,83138,41028,-7031,967.0,970.75,948.25,956.5,69182
2009-03-31,316690,56723,156972,86576,862,61200,17639,23267,26492,-100249,85714,43561,-3225,952.0,954.0,904.5,904.5,103109
2009-04-07,338305,53770,180570,86472,1421,73996,11000,24464,21809,-126800,85051,62996,2655,989.5,1006.0,987.25,994.75,97974
2009-04-14,361793,56519,198647,89286,1587,83611,10174,25426,21860,-142128,87699,73437,3566,1036.0,1043.5,1015.0,1019.25,109675
2009-04-21,379420,61990,216882,91972,1426,94796,9677,28469,23263,-154892,90546,85119,5206,1038.0,1042.75,1012.75,1020.75,71968
2009-04-28,373874,59120,220115,92373,2084,92187,9125,26738,16071,-160995,90289,83062,10667,989.5,1017.75,988.0,1007.5,33780
2009-05-05,397105,48218,237158,102661,2213,101463,7122,33804,17672,-188940,100448,94341,16132,1116.0,1127.0,1107.0,1120.0,2635
2009-05-12,408703,46868,245002,104259,1935,102593,6121,36545,16202,-198134,102324,96472,20343,1137.5,1137.0,1115.0,1129.0,793
2009-05-19,422416,47293,252486,107355,1960,104934,6521,41188,20171,-205193,105395,98413,21017,1162.0,1169.25,1141.0,1146.0,84935
2009-05-26,441819,52004,259661,108937,7846,111962,8812,38837,16520,-207657,101091,103150,22317,1185.5,1187.5,1151.0,1155.25,83020
2009-06-02,447013,57107,267074,109355,8017,114232,8981,37540,17381,-209967,101338,105251,20159,1209.0,1221.75,1200.5,1218.0,71037
2009-06-09,460526,67204,279397,108114,7996,121936,10354,35862,19024,-212193,100118,111582,16838,1243.5,1249.0,1226.75,1234.0,90915
2009-06-16,459871,74353,273667,107437,7834,118107,9188,36031,20790,-199314,99603,108919,15241,1201.25,1219.0,1187.5,1202.0,71112
2009-06-23,462276,78082,270889,106417,7872,107124,7925,38713,16595,-192807,98545,99199,22118,1179.0,1182.0,1152.25,1152.25,41210
2009-06-30,437046,63155,253124,110934,7263,102521,7992,37633,15703,-189969,103671,94529,21930,1226.25,1232.5,1190.0,1220.0,20912
2009-07-07,428415,68335,248638,111707,7000,88249,9861,41302,15137,-180303,104707,78388,26165,1133.5,1206.0,1118.25,1202.0,4203
2009-07-14,412669,75178,231995,111257,7018,77785,17551,41961,16110,-156817,104239,60234,25851,1074.0,1087.75,1058.25,1079.75,24695
2009-07-21,402975,74647,222852,112062,9468,75794,16346,39337,15624,-148205,102594,59448,23713,1014.5,1040.0,1005.25,1034.25,23005
2009-07-28,392027,77785,212955,113468,9585,74338,15842,27603,18415,-135170,103883,58496,9188,1054.5,1059.75,1020.25,1022.75,21474
2009-08-04,396717,64081,219138,113058,9117,87385,11766,28400,22471,-155057,103941,75619,5929,1165.0,1178.75,1160.0,1168.5,3027
2009-08-11,407168,56670,226068,115539,7698,100996,11254,26447,25442,-169398,107841,89742,1005,1216.5,1226.0,1168.0,1172.5,2522
2009-08-18,407708,69802,219692,114611,7362,89817,11474,26339,31222,-149890,107249,78343,-4883,995.5,1002.5,976.75,988.0,7889
2009-08-25,395788,63904,207479,113536,7051,78637,11153,27264,27257,-143575,106485,67484,7,1091.0,1108.0,1072.75,1077.0,13501
2009-09-01,407468,76484,210259,114688,7406,78333,20776,28010,28051,-133775,107282,57557,-41,1014.0,1114.25,1011.75,1100.0,1860
2009-09-08,425202,93771,212163,112929,7358,75650,27120,28150,30644,-118392,105571,48530,-2494,969.0,981.0,951.0,954.25,303
2009-09-15,432114,91747,211468,113216,7954,82035,31096,28151,31615,-119721,105262,50939,-3464,960.0,977.75,901.5,906.5,136096
2009-09-22,436080,98771,203270,116706,7909,76063,31540,23879,36018,-104499,108797,44523,-12139,922.0,927.25,903.25,912.5,76722
2009-09-29,437758,97182,199973,116732,8551,75309,28338,20928,35204,-102791,108181,46971,-14276,917.0,928.75,910.5,918.5,64290
2009-10-06,452603,97404,201100,115663,8545,82501,36971,21612,36264,-103696,107118,45530,-14652,910.0,921.0,884.25,884.5,105629
2009-10-13,474712,84674,227645,117280,9056,89820,18359,23138,33836,-142971,108224,71461,-10698,993.0,1012.25,987.0,996.5,126476
2009-10-20,477120,74086,232542,119098,8789,100999,19963,23215,34119,-158456,110309,81036,-10904,982.5,1004.75,979.75,996.25,97505
2009-10-27,451029,62898,226307,122145,9350,94856,18626,18097,19862,-163409,112795,76230,-1765,973.5,993.5,969.25,986.5,108434
2009-11-03,430745,56777,233874,120486,9505,104169,12213,20108,20592,-177097,110981,91956,-484,1006.75,1018.25,986.5,996.25,29920
2009-11-09,422618,64505,228102,125245,9294,90957,17710,24199,19972,-163597,115951,73247,4227,964.25,966.5,945.0,945.25,9342
2009-11-17,443987,63201,241540,126313,9302,103874,16113,25248,21898,-178339,117011,87761,3350,1029.5,1031.75,1003.0,1007.0,84389
2009-11-24,467225,67456,267246,129233,9378,118956,9226,22710,21030,-199790,119855,109730,1680,1046.0,1049.25,1032.0,1040.5,76488
2009-12-01,478986,70963,280505,130739,9380,119414,9685,26318,19755,-209542,121359,109729,6563,1059.5,1078.5,1052.5,1058.5,88019
2009-12-08,482172,71788,275274,129505,9418,124563,14319,26672,19999,-203486,120087,110244,6673,1044.0,1063.75,1042.5,1053.25,95941
2009-12-15,487238,73044,275036,126491,5996,128418,14689,25782,20044,-201992,120495,113729,5738,1055.0,1068.5,1049.5,1054.75,89296
2009-12-22,457655,72626,243043,127752,7007,96147,17207,30275,18096,-170417,120745,78940,12179,991.0,1010.0,984.5,1001.0,81698
2009-12-29,423295,62687,219345,126880,7329,93608,15427,18098,20629,-156658,119551,78181,-2531,1038.0,1040.0,1020.25,1028.75,47325
2010-01-05,424304,54382,220682,125004,5794,112240,16299,17359,25491,-166300,119210,95941,-8132,1052.25,1056.0,1042.0,1047.0,21073
2010-01-12,438758,67868,214115,135182,5620,97476,26547,18505,27075,-146247,129562,70929,-8570,969.5,1001.25,962.0,999.5,11750
2010-01-19,454690,74732,214956,143071,5746,87557,30743,19687,26361,-140224,137325,56814,-6674,963.5,984.0,962.75,974.0,77967
2010-01-26,457213,82513,207288,142168,5544,83352,41148,20118,23226,-124775,136624,42204,-3108,947.5,949.5,932.5,941.0,81769
2010-02-02,472953,97792,205538,140348,7782,78711,46146,20601,23896,-107746,132566,32565,-3295,925.5,930.0,905.25,911.25,91665
2010-02-09,478719,104728,188335,139236,7828,72791,60997,20570,27212,-83607,131408,11794,-6642,924.5,944.0,920.0,929.5,120623
2010-02-16,482183,98984,198193,138685,7928,75618,46790,19019,28244,-99209,130757,28828,-9225,965.5,966.0,945.25,948.0,82989
2010-02-23,448051,91358,191008,139896,8162,72444,37503,14190,34339,-99650,131734,34941,-20149,952.5,978.75,952.0,960.0,90583
2010-03-02,426354,76038,177297,146039,7343,71982,36820,14342,37364,-101259,138696,35162,-23022,954.25,959.5,948.5,952.0,9441
2010-03-09,433812,83409,170162,146964,7619,72557,49188,14752,35835,-86753,139345,23369,-21083,941.5,941.0,929.0,941.0,865
2010-03-16,436247,84047,168329,146721,5642,73775,52729,13625,38104,-84282,141079,21046,-24479,945.0,948.0,930.5,930.5,71579
2010-03-23,432402,78792,192328,142089,1289,78585,30336,18313,39086,-113536,140800,48249,-20773,968.0,976.5,964.75,966.75,62583
2010-03-30,445222,89972,203167,138208,1226,77352,25828,21024,41905,-113195,136982,51524,-20881,974.0,974.25,960.25,967.5,76370
2010-04-06,454081,96921,190609,144908,2126,71702,43026,23155,43610,-93688,142782,28676,-20455,944.5,944.75,932.75,936.0,53024
2010-04-13,470142,94809,210313,146568,1566,82503,34765,23550,42060,-115504,145002,47738,-18510,968.0,972.25,954.25,958.25,123181
2010-04-20,488864,86198,238947,147429,1549,96286,23562,23661,40093,-152749,145880,72724,-16432,984.0,987.75,977.5,977.5,39834
2010-04-27,487498,82524,247135,148923,1528,103251,18527,23140,39765,-164611,147395,84724,-16625,982.75,1001.0,981.5,997.75,37245
2010-05-04,475888,77654,237914,147663,1691,102639,23650,24870,36911,-160260,145972,78989,-12041,977.0,980.5,963.75,975.25,11422
2010-05-11,460005,87270,225106,146672,1367,82913,34887,28824,29525,-137836,145305,48026,-701,958.25,961.0,946.5,953.0,1532
2010-05-18,460112,87553,212858,150236,2178,70829,46351,33464,24723,-125305,148058,24478,8741,939.5,949.5,936.0,943.0,59875
2010-05-25,455445,90010,207873,150439,2545,60815,50506,35456,21059,-117863,147894,10309,14397,930.5,941.0,927.5,939.0,59077
2010-06-01,459804,90177,207387,149057,2258,57560,52506,37834,19821,-117210,146799,5054,18013,932.0,943.75,930.5,939.25,57229
2010-06-08,475862,96684,209768,149400,2070,56015,61635,44229,21142,-113084,147330,-5620,23087,931.0,937.5,926.0,934.0,77801
2010-06-15,460514,89834,219231,145838,1168,62102,48483,39107,21366,-129397,144670,13619,17741,949.5,961.75,947.25,949.75,58688
2010-06-22,459096,79861,227170,147462,1039,71803,46000,40541,22423,-147309,146423,25803,18118,965.5,970.0,961.75,963.25,37116
2010-06-29,440453,82176,207267,149488,1210,61184,49355,34133,21511,-125091,148278,11829,12622,947.25,961.0,946.0,957.5,36315
2010-07-06,450536,91107,209867,149050,1172,57317,63618,39553,20229,-118760,147878,-6301,19324,964.25,976.25,959.5,962.5,2499
2010-07-13,468556,70504,246943,151705,1395,78422,35936,38032,16982,-176439,150310,42486,21050,1030.5,1040.5,1026.5,1034.0,1519
2010-07-20,485478,61350,271866,153225,1931,105352,23969,34723,20611,-210516,151294,81383,14112,1011.75,1014.25,998.5,1006.75,20147
2010-07-27,478169,66718,272040,154844,1755,102909,19722,29495,22531,-205322,153089,83187,6964,998.0,1005.0,994.5,997.5,24867
2010-08-03,490303,62598,297629,158331,1090,116294,15233,36021,25427,-235031,157241,101061,10594,1053.5,1054.0,1037.5,1051.0,3978
2010-08-10,508769,62678,318885,161239,925,128879,12210,37644,26239,-256207,160314,116669,11405,1036.25,1047.0,1033.75,1047.0,1669
2010-08-17,525866,71775,332754,155059,1182,133568,13031,41960,26703,-260979,153877,120537,15257,1045.25,1047.75,1029.5,1029.5,8048
2010-08-24,524449,74780,335598,155256,1308,127285,9151,45442,24202,-260818,153948,118134,21240,999.5,1009.75,995.0,1007.0,8683
2010-08-31,517626,69411,330656,154391,1304,123914,9018,47740,22596,-261245,153087,114896,25144,1008.0,1024.25,1005.0,1015.0,4596
2010-09-07,527472,72295,338320,153342,2116,130814,10843,47220,24744,-266025,151226,119971,22476,1043.75,1040.75,1024.75,1031.25,823
2010-09-14,532715,75941,346128,152591,2526,133057,9255,47421,24817,-270187,150065,123802,22604,1025.0,1030.5,1018.25,1026.75,70449
2010-09-21,560999,76174,363409,149293,1883,142905,10529,55338,24627,-287235,147410,132376,30711,1080.0,1093.75,1079.25,1083.75,81117
2010-09-28,603508,82038,388551,151407,1871,155005,16901,64712,22617,-306513,149536,138104,42095,1110.0,1135.5,1105.5,1127.0,81866
2010-10-05,604208,94891,385404,153772,3599,138558,15838,70355,25780,-290513,150173,122720,44575,1071.75,1077.75,1049.75,1053.75,96028
2010-10-12,635883,122078,417811,151351,1453,134937,13580,74939,23342,-295733,149898,121357,51597,1178.5,1185.75,1154.0,1154.0,140947
2010-10-19,652432,108268,424963,155148,1039,153985,13542,80750,24042,-316695,154109,140443,56708,1180.0,1195.0,1165.5,1184.25,122594
2010-10-26,651516,103991,442065,168384,2512,154810,7290,73996,19673,-338074,165872,147520,54323,1219.0,1224.0,1208.5,1217.0,97376
2010-11-02,613985,85819,425100,162519,2904,163615,6289,68435,18938,-339281,159615,157326,49497,1223.75,1232.5,1220.75,1225.25,14956
2010-11-09,628476,96569,424685,152708,2435,170519,8972,75194,31829,-328116,150273,161547,43365,1319.25,1333.75,1262.0,1263.5,5980
2010-11-16,617469,107052,416555,153471,3997,155373,7655,78235,31299,-309503,149474,147718,46936,1219.75,1289.75,1216.5,1286.25,154393
2010-11-23,622648,106279,409952,148819,11924,150193,11444,87345,26816,-303673,136895,138749,60529,1239.0,1246.5,1201.5,1225.0,109152
2010-11-30,631522,106861,412130,144965,12058,146958,11786,91199,23116,-305269,132907,135172,68083,1243.0,1247.25,1227.75,1238.0,70192
2010-12-07,631787,87270,398297,143807,12582,148183,14182,97924,23396,-311027,131225,134001,74528,1285.5,1303.25,1282.25,1288.5,121753
2010-12-14,643173,82455,394384,144268,15449,150950,14380,98115,23086,-311929,128819,136570,75029,1296.0,1311.25,1292.5,1300.0,91214
2010-12-21,660863,83607,403243,148607,15773,159150,16918,98408,24611,-319636,132834,142232,73797,1326.25,1328.0,1311.5,1315.25,84123
2010-12-28,646356,77330,414805,149838,15578,161591,10417,97940,20841,-337475,134260,151174,77099,1375.75,1385.25,1372.0,1373.0,52754
2011-01-04,622611,75372,402557,150685,15617,155418,11694,96919,22227,-327185,135068,143724,74692,1361.0,1381.75,1350.25,1369.5,5881
2011-01-11,619456,83458,400587,143436,18696,155109,11894,98037,22475,-317129,124740,143215,75562,1350.5,1380.0,1349.0,1376.5,2216
2011-01-18,654378,97387,417512,137591,20726,158027,15452,105585,22572,-320125,116865,142575,83013,1413.25,1430.0,1408.25,1412.25,93778
2011-01-25,650122,92984,392790,133767,20660,144972,13792,105711,23695,-299806,113107,131180,82016,1374.5,1408.0,1370.25,1404.25,122405
2011-02-01,677852,93690,405331,138575,21598,164209,15094,101610,31916,-311641,116977,149115,69694,1438.0,1440.5,1408.25,1413.5,119431
2011-02-08,698094,96149,409184,134665,23638,160447,14431,110056,31325,-313035,111027,146016,78731,1434.25,1435.5,1414.0,1425.0,110561
2011-02-15,698766,104423,389181,126427,19243,150542,23789,111653,31616,-284758,107184,126753,80037,1368.0,1409.25,1364.75,1403.0,144806
2011-02-22,637703,104386,355110,124348,17287,137479,17494,82484,26527,-250724,107061,119985,55957,1298.0,1385.75,1298.0,1379.0,135942
2011-03-01,612668,104486,342754,120435,18292,132338,15804,76564,28258,-238268,102143,116534,48306,1367.5,1369.0,1347.25,1360.0,9490
2011-03-08,617315,101273,351767,119550,17927,133096,6651,79431,27343,-250494,101623,126445,52088,1375.5,1389.25,1368.0,1389.25,3098
2011-03-15,621678,110910,340301,119675,18366,128707,18504,85669,30938,-229391,101309,110203,54731,1270.0,1346.0,1270.0,1342.0,160944
2011-03-22,616044,109815,348962,120481,19532,131008,15845,83732,28542,-239147,100949,115163,55190,1365.5,1365.75,1344.0,1363.5,63138
2011-03-29,618462,114655,352170,121905,20117,131039,17301,79562,27738,-237515,101788,113738,51824,1361.5,1369.0,1341.0,1345.25,80620
2011-04-05,634186,119419,362758,120494,19934,136802,23775,79195,25489,-243339,100560,113027,53706,1373.25,1389.75,1366.5,1384.5,86278
2011-04-12,636593,123843,341599,118771,20663,124056,25536,79380,26421,-217756,98108,98520,52959,1329.75,1370.25,1318.25,1369.0,140396
2011-04-19,636040,127651,332510,116685,18976,114783,27185,78821,28621,-204859,97709,87598,50200,1342.0,1349.0,1336.5,1344.5,74374
2011-04-26,593568,119805,327606,122117,18825,119821,16953,57904,28048,-207801,103292,102868,29856,1382.75,1390.0,1371.75,1389.0,59906
2011-05-03,571505,116379,322451,123908,18576,118795,22135,59937,28681,-206072,105332,96660,31256,1359.25,1394.75,1352.0,1390.25,5704
2011-05-10,551626,123840,307431,120112,18731,107470,19913,59482,32687,-183591,101381,87557,26795,1340.0,1352.25,1335.25,1335.25,820
2011-05-17,545195,125011,302153,117941,18770,107726,21963,59586,33626,-177142,99171,85763,25960,1341.0,1342.75,1312.25,1324.75,103046
2011-05-24,554958,123552,311424,117070,19084,119726,23841,58435,34169,-187872,97986,95885,24266,1372.25,1389.0,1365.75,1373.75,81161
2011-05-31,578376,122074,321534,118446,19099,126045,27256,59827,33747,-199460,99347,98789,26080,1376.0,1391.25,1366.5,1371.5,86334
2011-06-07,596874,120379,330444,117385,19600,136770,31066,62245,33768,-210065,97785,105704,28477,1394.0,1394.75,1380.25,1382.75,108072
2011-06-14,599556,125320,315314,118715,20178,127326,34263,62203,35455,-189994,98537,93063,26748,1368.0,1387.0,1353.5,1382.25,101593
