,open_interest_all,prod_merc_positions_long,prod_merc_positions_short,swap_positions_long_all,swap__positions_short_all,m_money_positions_long_all,m_money_positions_short_all,other_rept_positions_long,other_rept_positions_short,prod_merc_net,swap_net,m_money_net,other_rept_net,Close,High,Low,Open,Volume
2011-06-21,592787,138230,309221,118594,20704,115395,33033,57439,35729,-170991,97890,82362,21710,1348.75,1354.75,1337.75,1338.25,51448
2011-06-28,530785,124989,288395,132742,17816,95896,34196,50419,30175,-163406,114926,61700,20244,1330.75,1346.25,1328.0,1334.0,48313
2011-07-05,525466,128900,290512,130672,16573,94412,38562,53210,28591,-161612,114099,55850,24619,1332.25,1340.0,1322.0,1330.5,2786
2011-07-12,514257,112272,294599,127103,14392,100106,29579,53917,30546,-182327,112711,70527,23371,1366.5,1366.5,1342.0,1352.5,3121
2011-07-19,543107,97849,322525,122691,15506,127685,22807,59724,31290,-224676,107185,104878,28434,1379.25,1408.0,1375.5,1389.0,24180
2011-07-26,537568,91623,320365,124334,15896,138626,24384,52933,31500,-228742,108438,114242,21433,1383.0,1383.75,1363.0,1366.25,31675
2011-08-02,512382,93692,304346,123581,16033,129141,23970,47861,34254,-210654,107548,105171,13607,1373.0,1377.5,1348.5,1360.0,3645
2011-08-09,499834,115630,286496,116531,15262,96739,29336,59870,32078,-170866,101269,67403,27792,1298.75,1320.0,1286.0,1300.0,666
2011-08-16,506885,110089,295958,115101,15237,100246,26017,65155,31211,-185869,99864,74229,33944,1340.0,1345.0,1333.5,1343.0,13434
2011-08-23,530818,91435,324051,114243,15823,135909,17082,61847,33906,-232616,98420,118827,27941,1389.5,1392.0,1376.5,1376.5,15840
2011-08-30,579933,71481,359310,112653,16548,171846,14570,74661,34253,-287829,96105,157276,40408,1448.75,1450.25,1430.0,1440.5,15584
2011-09-06,598896,80122,373366,116831,16635,173804,16812,77138,34889,-293244,100196,156992,42249,1413.5,1426.25,1402.25,1426.25,4749
2011-09-13,605003,102797,377777,117663,16945,166966,18532,70490,36364,-274980,100718,148434,34126,1381.25,1389.5,1374.0,1389.5,932
2011-09-20,584691,118912,352020,121427,21978,130628,13705,64175,29183,-233108,99449,116923,34992,1338.0,1350.25,1335.25,1341.0,93484
2011-09-27,574756,141466,321073,113106,21523,102478,23106,64559,23774,-179607,91583,79372,40785,1263.0,1278.75,1259.0,1262.25,112498
2011-10-04,573569,149900,300453,101513,23794,96256,27205,66052,24532,-150553,77719,69051,41520,1160.0,1179.0,1152.0,1174.5,160218
2011-10-11,570587,155537,303127,105305,22742,87472,35243,72559,22428,-147590,82563,52229,50131,1235.5,1245.5,1174.5,1180.0,243131
2011-10-18,589267,149509,315243,110399,20225,97436,38133,75273,23982,-165734,90174,59303,51291,1250.75,1253.0,1226.5,1253.0,147779
2011-10-25,542926,146979,293934,127095,11238,84910,41791,39287,18087,-146955,115857,43119,21200,1225.5,1236.0,1217.5,1226.0,103812
2011-11-01,518805,132084,271567,131709,13541,81018,47273,38916,19962,-139483,118168,33745,18954,1192.25,1212.75,1180.5,1204.5,21307
2011-11-08,515823,130107,260427,131265,13839,78447,50836,40539,22759,-130320,117426,27611,17780,1195.25,1206.5,1192.75,1194.0,5536
2011-11-15,529417,140811,246228,129586,13931,75735,65231,42505,28449,-105417,115655,10504,14056,1200.25,1206.25,1178.25,1178.25,112669
2011-11-22,522610,145747,237373,133604,13800,70563,74905,43936,28194,-91626,119804,-4342,15742,1153.0,1155.75,1141.0,1147.5,96590
2011-11-29,522741,140522,235038,132788,13858,67574,70070,42336,28777,-94516,118930,-2496,13559,1125.0,1138.5,1115.0,1124.25,95258
2011-12-06,541370,153357,245409,133498,13607,64914,70569,45014,30773,-92052,119891,-5655,14241,1129.5,1131.75,1120.25,1126.0,82019
2011-12-13,558278,148555,252882,128001,8989,68553,68921,47080,26803,-104327,119012,-368,20277,1118.5,1127.0,1106.25,1112.0,107292
2011-12-20,532238,130769,247445,131347,8467,65952,61255,46027,26819,-116676,122880,4697,19208,1144.5,1149.75,1135.5,1137.0,82124
2011-12-27,480007,106446,228622,131681,10079,68344,46914,36479,28900,-122176,121602,21430,7579,1199.75,1206.0,1172.75,1172.75,72938
2012-01-03,460650,90300,224509,132163,9854,72623,45276,37596,25532,-134209,122309,27347,12064,1218.25,1235.0,1214.25,1223.75,13078
2012-01-10,459749,88790,233600,134330,9588,75987,38918,35697,24116,-144810,124742,37069,11581,1223.75,1228.5,1214.5,1224.5,1495
2012-01-17,478025,94390,231362,135071,8887,76219,44782,36615,24900,-136972,126184,31437,11715,1183.5,1187.0,1162.75,1163.0,102904
